ecoregion1,ecoregion2,proportion
Rock and Ice,Cordillera Oriental montane forests,0
Santa Marta montane forests,Cordillera Oriental montane forests,0.5
Santa Marta paramo,Cordillera Oriental montane forests,0.5
Southern Andean Yungas,Cordillera Oriental montane forests,0
Southern Andean steppe,Cordillera Oriental montane forests,0
Tumbes Piura dry forests,Cordillera Oriental montane forests,0
Valdivian temperate forests,Cordillera Oriental montane forests,0
Venezuelan Andes montane forests,Cordillera Oriental montane forests,1
Araya and Paria xeric scrub,Cordillera de Merida paramo,1
Atacama desert,Cordillera de Merida paramo,0
Bolivian Yungas,Cordillera de Merida paramo,0
Bolivian montane dry forests,Cordillera de Merida paramo,0
Cauca Valley dry forests,Cordillera de Merida paramo,0
Cauca Valley montane forests,Cordillera de Merida paramo,0
Central Andean dry puna,Cordillera de Merida paramo,0
Central Andean puna,Cordillera de Merida paramo,0
Central Andean wet puna,Cordillera de Merida paramo,0
Chilean matorral,Cordillera de Merida paramo,0
Cordillera Central paramo,Cordillera de Merida paramo,0
Cordillera La Costa montane forests,Cordillera de Merida paramo,1
Cordillera Oriental montane forests,Cordillera de Merida paramo,0.5
Eastern Cordillera real montane forests,Cordillera de Merida paramo,0
High Monte,Cordillera de Merida paramo,0
La Costa xeric shrublands,Cordillera de Merida paramo,1
Lake,Cordillera de Merida paramo,0
Lara Falcon dry forests,Cordillera de Merida paramo,1
Magdalena Valley dry forests,Cordillera de Merida paramo,0
Magdalena Valley montane forests,Cordillera de Merida paramo,0
Magellanic subpolar forests,Cordillera de Merida paramo,0
Maranon dry forests,Cordillera de Merida paramo,0
Northern Andean paramo,Cordillera de Merida paramo,0.333333333
Northwestern Andean montane forests,Cordillera de Merida paramo,0
Patagonian steppe,Cordillera de Merida paramo,0
Patia Valley dry forests,Cordillera de Merida paramo,0
Peruvian Yungas,Cordillera de Merida paramo,0
Rock and Ice,Cordillera de Merida paramo,0
Santa Marta montane forests,Cordillera de Merida paramo,0
Santa Marta paramo,Cordillera de Merida paramo,0
Southern Andean Yungas,Cordillera de Merida paramo,0
Southern Andean steppe,Cordillera de Merida paramo,0
Tumbes Piura dry forests,Cordillera de Merida paramo,0
Valdivian temperate forests,Cordillera de Merida paramo,0
Venezuelan Andes montane forests,Cordillera de Merida paramo,0.5
Araya and Paria xeric scrub,Eastern Cordillera real montane forests,0
Atacama desert,Eastern Cordillera real montane forests,0
Bolivian Yungas,Eastern Cordillera real montane forests,0.25
Bolivian montane dry forests,Eastern Cordillera real montane forests,0
Cauca Valley dry forests,Eastern Cordillera real montane forests,0.333333333
Cauca Valley montane forests,Eastern Cordillera real montane forests,0.333333333
